hour_bucket,pm25_avg,pm25_max,pm10_avg,pm10_max,co_avg,co_max,no2_avg,o3_avg,temperature_avg,humidity_avg
2026-08-31T16:00:00+00:00,15.19,22.91,16.96,25.71,2790.05,3161.3,0.14,36.79,36.92,56.33
2026-08-31T17:00:00+00:00,14.78,22.0,17.0,29.49,2932.76,3259.5,0.17,26.43,36.14,58.08
2026-08-31T18:00:00+00:00,14.69,20.65,17.17,26.44,3117.98,3390.58,0.23,23.01,35.22,60.53
2026-08-31T19:00:00+00:00,15.51,21.03,17.76,26.54,3289.13,3601.09,0.12,20.22,34.45,62.42
2026-08-31T20:00:00+00:00,14.97,20.34,17.67,31.14,3255.89,3726.78,0.15,20.06,34.11,62.62
2026-08-31T21:00:00+00:00,14.87,21.81,16.54,26.05,3138.64,3603.33,0.13,20.08,33.58,64.05
2026-08-31T22:00:00+00:00,15.38,21.15,17.24,24.8,2979.67,3273.02,0.11,20.02,33.3,65.42
2026-08-31T23:00:00+00:00,15.32,20.52,16.98,26.2,2806.62,3211.71,0.14,20.02,33.0,66.17
2026-09-01T00:00:00+00:00,14.97,31.32,17.14,34.06,2666.08,2951.27,0.13,20.11,32.71,67.07
2026-09-01T01:00:00+00:00,15.66,28.74,17.51,36.53,2650.68,3015.51,0.14,20.02,32.73,66.63
2026-09-01T02:00:00+00:00,14.91,27.79,17.05,31.58,2648.41,3072.71,0.17,20.12,32.96,65.62
2026-09-01T03:00:00+00:00,15.17,24.02,17.13,28.31,3974.59,7030.91,0.13,20.07,32.85,66.22
2026-09-01T04:00:00+00:00,31.71,80.6,34.66,91.55,2644.42,2849.86,0.1,19.96,33.26,65.88
2026-09-01T05:00:00+00:00,24.04,84.23,26.94,99.77,2657.37,2941.9,0.11,20.16,33.5,64.86
2026-09-01T06:00:00+00:00,15.27,19.69,17.7,24.54,2746.16,3083.59,0.08,19.95,34.07,62.95
2026-09-01T07:00:00+00:00,15.08,22.02,17.26,26.78,2887.62,3248.68,0.13,20.09,34.34,62.76
2026-09-01T08:00:00+00:00,15.08,21.57,16.57,25.34,3181.65,3596.4,0.16,22.17,35.01,60.64
2026-09-01T09:00:00+00:00,15.47,21.68,17.71,26.18,3450.8,3824.96,0.14,27.99,35.68,59.24
2026-09-01T10:00:00+00:00,15.74,21.59,18.53,27.06,3457.38,3949.25,0.14,34.34,36.51,56.85
2026-09-01T11:00:00+00:00,15.35,21.59,18.22,29.48,3222.58,3673.91,0.08,41.92,37.29,54.89
2026-09-01T12:00:00+00:00,14.9,19.18,16.71,24.01,2893.84,3289.85,0.13,44.09,37.3,54.4
2026-09-01T13:00:00+00:00,15.33,21.85,17.77,24.14,2729.31,3095.45,0.14,41.81,38.04,53.23
2026-09-01T14:00:00+00:00,15.49,22.39,17.68,26.75,2687.97,3089.54,0.16,40.91,37.73,54.06
2026-09-01T15:00:00+00:00,15.47,20.59,17.91,27.9,2695.1,2936.59,0.12,41.62,37.55,54.16
2026-09-01T16:00:00+00:00,14.87,19.36,17.29,26.69,2783.03,3119.19,0.12,29.38,36.8,56.45
2026-09-01T17:00:00+00:00,15.04,21.14,17.72,27.91,2967.16,3406.04,0.12,25.18,36.33,56.78
2026-09-01T18:00:00+00:00,14.9,21.57,17.31,25.2,3163.89,3408.58,0.15,22.98,35.38,60.06
2026-09-01T19:00:00+00:00,15.47,22.56,17.16,24.6,3299.82,3755.32,0.14,20.16,34.6,61.51
2026-09-01T20:00:00+00:00,15.52,21.83,18.1,25.79,3251.96,3671.95,0.09,20.11,34.05,63.62
2026-09-01T21:00:00+00:00,14.88,21.26,17.84,26.03,3158.85,3476.98,0.12,20.01,33.49,64.72
2026-09-01T22:00:00+00:00,15.35,21.91,18.23,28.28,2951.09,3295.17,0.07,20.12,33.34,64.62
2026-09-01T23:00:00+00:00,15.42,21.03,17.3,24.26,2783.53,3104.86,0.2,20.02,32.98,66.05
2026-09-02T00:00:00+00:00,14.08,29.21,16.04,36.9,2641.09,2965.97,0.17,20.02,32.79,66.49
2026-09-02T01:00:00+00:00,15.72,35.18,18.25,41.58,2658.61,2934.86,0.15,20.04,32.85,66.42
2026-09-02T02:00:00+00:00,15.24,25.31,18.03,31.44,2636.63,3081.17,0.15,20.03,33.08,65.47
2026-09-02T03:00:00+00:00,19.87,70.68,22.21,74.52,2679.21,3027.88,0.24,20.02,33.15,65.45
2026-09-02T04:00:00+00:00,37.47,79.27,41.72,89.76,2666.59,3151.56,0.13,19.98,33.51,64.84
2026-09-02T05:00:00+00:00,15.27,21.65,17.17,25.25,2669.2,2920.41,0.12,20.08,33.42,65.19
2026-09-02T06:00:00+00:00,15.64,21.35,18.2,25.96,2737.21,3060.38,0.17,20.09,33.95,63.41
2026-09-02T07:00:00+00:00,15.28,20.47,17.97,25.58,2898.55,3380.39,0.1,20.13,34.41,62.61
2026-09-02T08:00:00+00:00,15.37,20.77,17.84,27.25,3211.29,3505.81,0.11,22.89,34.99,61.99
2026-09-02T09:00:00+00:00,15.33,20.84,17.75,26.44,3446.23,3803.49,0.15,26.81,35.69,58.88
2026-09-02T10:00:00+00:00,15.5,20.28,17.62,24.96,3455.93,3884.91,0.14,31.77,36.72,55.97
2026-09-02T11:00:00+00:00,16.04,21.17,17.99,26.53,3170.42,3653.2,0.16,36.75,37.18,54.88
2026-09-02T12:00:00+00:00,15.48,21.32,17.89,26.56,2908.15,3373.28,0.17,39.06,37.92,53.5
2026-09-02T13:00:00+00:00,15.5,22.9,17.14,26.72,2732.88,3016.66,0.16,42.12,37.84,53.14
2026-09-02T14:00:00+00:00,15.26,20.19,17.65,25.14,2683.49,3035.89,0.13,44.48,37.96,52.68
2026-09-02T15:00:00+00:00,15.06,20.94,17.38,27.25,2698.56,3084.56,0.15,38.65,37.61,54.37
2026-09-02T16:00:00+00:00,15.52,21.02,17.97,27.0,2809.62,3163.76,0.12,30.57,36.89,56.14
2026-09-02T17:00:00+00:00,15.31,20.94,17.57,26.76,2943.22,3290.7,0.11,26.54,36.15,57.34
2026-09-02T18:00:00+00:00,14.92,20.02,17.1,24.3,3120.27,3488.59,0.23,23.02,35.33,59.46
2026-09-02T19:00:00+00:00,15.19,23.99,17.31,28.38,3274.55,3570.95,0.15,20.13,34.71,61.1
2026-09-02T20:00:00+00:00,15.65,21.52,18.01,28.72,3323.6,3636.32,0.12,19.98,34.13,63.05
2026-09-02T21:00:00+00:00,15.27,21.11,17.85,30.32,3128.33,3551.84,0.17,20.13,33.51,65.19
2026-09-02T22:00:00+00:00,15.44,22.32,17.44,27.5,2924.41,3250.06,35.24,19.98,33.0,64.77
2026-09-02T23:00:00+00:00,15.06,20.71,17.14,25.55,2782.69,3082.0,0.16,19.98,33.03,66.73
2026-09-03T00:00:00+00:00,15.27,27.07,17.95,36.35,2647.08,2940.7,0.1,20.02,32.78,66.64
2026-09-03T01:00:00+00:00,15.02,26.24,17.57,34.08,2641.38,2937.77,0.09,20.0,32.8,66.36
2026-09-03T02:00:00+00:00,15.86,28.41,18.22,33.21,2646.28,2896.28,0.15,20.05,32.83,67.2
2026-09-03T03:00:00+00:00,15.7,29.19,17.54,34.74,3387.39,5770.27,0.16,20.01,33.04,65.64
2026-09-03T04:00:00+00:00,15.47,25.04,17.68,28.27,4100.9,7308.76,0.14,20.01,33.09,65.63
2026-09-03T05:00:00+00:00,15.25,23.76,16.87,26.1,2686.99,3157.44,0.16,20.01,33.73,64.21
2026-09-03T06:00:00+00:00,15.02,22.02,17.44,27.81,2739.79,3075.55,0.12,20.07,34.06,63.96
2026-09-03T07:00:00+00:00,14.88,21.56,17.36,28.39,2931.51,3345.13,0.14,20.11,34.32,62.52
2026-09-03T08:00:00+00:00,15.63,21.19,18.06,26.1,3203.76,3790.96,0.15,22.02,34.91,61.14
2026-09-03T09:00:00+00:00,14.98,22.49,16.86,23.29,3463.04,3800.56,0.16,27.02,35.94,58.01
2026-09-03T10:00:00+00:00,14.92,20.65,17.91,31.53,3457.95,3921.71,0.06,33.87,36.5,56.65
2026-09-03T11:00:00+00:00,15.46,19.74,17.39,25.55,3182.18,3577.12,0.2,41.9,37.3,54.42
2026-09-03T12:00:00+00:00,15.65,21.23,17.65,29.9,2931.71,3183.98,0.16,41.53,37.59,54.28
2026-09-03T13:00:00+00:00,14.85,22.22,16.75,27.95,2750.13,3107.01,0.12,40.47,37.89,53.21
2026-09-03T14:00:00+00:00,15.2,21.54,17.55,26.52,2685.1,2998.19,0.13,43.43,37.89,53.04
2026-09-03T15:00:00+00:00,15.02,20.25,17.29,24.36,2737.98,2951.91,0.1,40.3,37.5,54.59
2026-09-03T16:00:00+00:00,15.01,19.55,16.89,27.02,2811.12,3123.73,0.16,31.37,37.17,54.82
2026-09-03T17:00:00+00:00,15.04,22.43,17.17,25.85,2969.88,3277.22,0.11,28.06,36.25,57.13
2026-09-03T18:00:00+00:00,15.28,20.54,17.22,24.85,3145.02,3478.43,0.17,22.64,35.22,60.19
2026-09-03T19:00:00+00:00,14.14,20.17,16.08,27.7,3249.66,3530.56,0.19,20.08,34.58,63.55
2026-09-03T20:00:00+00:00,15.49,21.83,17.23,27.85,3278.11,3512.42,0.14,20.15,34.09,63.36
2026-09-03T21:00:00+00:00,14.86,21.42,17.21,25.75,3160.88,3483.25,0.18,20.01,33.5,64.49
2026-09-03T22:00:00+00:00,15.06,20.75,17.24,26.08,2956.52,3258.89,0.16,20.04,33.1,65.65
2026-09-03T23:00:00+00:00,15.66,21.24,17.65,26.05,2803.32,3135.48,0.1,20.12,32.83,66.47
2026-09-04T00:00:00+00:00,15.16,28.06,17.55,30.62,2610.54,2981.91,0.09,20.01,32.91,65.93
2026-09-04T01:00:00+00:00,15.23,29.53,17.95,37.05,2651.34,3050.01,0.18,19.98,32.93,65.76
2026-09-04T02:00:00+00:00,14.89,24.7,17.59,33.13,2650.37,2982.33,0.14,19.98,33.05,65.75
2026-09-04T03:00:00+00:00,15.54,28.58,17.59,35.4,2593.42,2854.24,0.1,20.17,32.99,65.85
2026-09-04T04:00:00+00:00,15.45,27.53,17.72,30.36,2678.58,3027.69,0.13,20.01,33.22,65.46
2026-09-04T05:00:00+00:00,15.33,22.0,17.53,25.62,2638.47,2912.42,0.13,20.13,33.56,65.14
2026-09-04T06:00:00+00:00,15.33,22.08,18.25,26.31,2724.76,3032.58,0.19,20.2,34.1,63.57
2026-09-04T07:00:00+00:00,15.31,24.64,17.22,28.21,2909.78,3306.15,0.15,20.08,34.56,61.15
2026-09-04T08:00:00+00:00,15.06,22.23,16.96,25.07,3194.31,3677.0,0.22,21.82,35.01,60.84
2026-09-04T09:00:00+00:00,15.42,21.29,18.32,23.6,3457.21,3783.11,0.06,28.51,35.93,58.56
2026-09-04T10:00:00+00:00,15.2,19.5,17.71,26.42,3483.27,3856.96,0.07,33.71,36.38,57.05
2026-09-04T11:00:00+00:00,14.94,22.99,16.81,28.88,3158.3,3468.97,0.13,37.79,37.05,56.13
2026-09-04T12:00:00+00:00,15.14,23.28,16.73,25.65,2933.74,3402.43,0.11,44.83,37.55,54.25
2026-09-04T13:00:00+00:00,15.5,21.66,18.17,26.44,2742.95,3146.68,0.16,45.11,37.87,53.32
2026-09-04T14:00:00+00:00,15.59,23.03,18.25,33.12,2663.58,2880.73,0.17,41.51,37.69,54.13
2026-09-04T15:00:00+00:00,15.17,19.81,17.43,25.9,2719.64,2998.88,0.13,37.25,37.51,54.37
2026-09-04T16:00:00+00:00,14.95,20.97,17.25,26.16,2785.91,3111.43,0.12,32.44,36.93,55.49
2026-09-04T17:00:00+00:00,15.68,22.14,17.48,26.88,2936.24,3291.62,0.21,27.31,36.07,58.05
2026-09-04T18:00:00+00:00,15.33,22.83,17.66,26.55,3116.93,3399.57,0.14,22.4,35.27,60.28
2026-09-04T19:00:00+00:00,42.02,69.38,46.27,79.49,3269.63,3611.48,0.13,20.19,34.5,62.05
2026-09-04T20:00:00+00:00,15.44,21.12,18.58,29.21,3281.47,3665.39,0.08,20.08,34.2,62.51
2026-09-04T21:00:00+00:00,15.44,22.23,18.12,28.06,3128.58,3492.47,0.1,20.03,33.55,65.22
2026-09-04T22:00:00+00:00,15.62,21.94,18.25,26.6,2949.11,3187.7,0.19,19.93,33.06,66.66
2026-09-04T23:00:00+00:00,15.05,20.41,17.02,24.6,2792.66,3054.65,0.11,20.02,32.84,66.61
2026-09-05T00:00:00+00:00,14.94,24.28,16.52,27.36,2668.33,2988.87,0.14,20.11,32.7,66.76
2026-09-05T01:00:00+00:00,16.67,29.14,19.5,34.12,2631.01,2945.47,0.19,20.08,32.89,66.27
2026-09-05T02:00:00+00:00,15.04,30.04,17.39,29.52,2651.4,2908.08,0.15,20.01,33.06,65.39
2026-09-05T03:00:00+00:00,15.69,25.65,18.82,33.05,2612.19,2935.24,0.19,20.06,33.01,65.83
2026-09-05T04:00:00+00:00,15.11,22.5,17.04,28.09,2621.77,2883.07,0.17,20.11,33.37,64.98
2026-09-05T05:00:00+00:00,15.16,23.65,17.41,31.04,2665.17,2934.75,0.21,19.99,33.73,64.04
2026-09-05T06:00:00+00:00,16.47,21.94,18.87,26.79,2750.19,3047.21,0.16,20.06,34.03,63.72
2026-09-05T07:00:00+00:00,15.15,21.76,17.46,25.85,2911.63,3264.32,0.11,20.06,34.55,61.83
2026-09-05T08:00:00+00:00,15.81,20.59,18.08,27.09,3200.83,3531.54,0.12,21.91,35.15,60.24
2026-09-05T09:00:00+00:00,15.76,20.56,17.68,30.85,3434.24,3715.42,0.16,27.63,35.77,59.29
2026-09-05T10:00:00+00:00,15.26,20.92,17.44,27.08,3468.35,3850.81,0.13,32.07,36.29,57.73
2026-09-05T11:00:00+00:00,14.88,22.46,17.69,27.36,3182.11,3580.24,0.09,40.7,37.37,54.4
2026-09-05T12:00:00+00:00,14.82,21.57,17.31,23.32,2924.35,3298.23,0.15,44.02,37.62,53.57
2026-09-05T13:00:00+00:00,14.61,21.7,17.3,24.9,2743.12,3061.48,0.14,40.36,37.89,53.3
2026-09-05T14:00:00+00:00,15.29,20.96,17.05,24.34,2667.42,2960.31,0.2,40.75,37.74,53.96
2026-09-05T15:00:00+00:00,15.18,20.63,17.44,26.57,2688.34,2988.37,0.26,35.98,37.52,53.69
2026-09-05T16:00:00+00:00,14.91,20.72,16.81,26.96,2760.08,3173.05,0.1,32.21,36.55,57.24
2026-09-05T17:00:00+00:00,16.16,21.4,18.23,31.96,2983.33,3382.36,0.14,25.59,36.17,58.36
2026-09-05T18:00:00+00:00,15.51,23.13,17.49,26.21,3139.94,3505.45,0.1,23.4,35.29,59.97
2026-09-05T19:00:00+00:00,15.24,20.02,17.74,25.4,3273.74,3571.86,0.1,20.04,34.79,61.23
2026-09-05T20:00:00+00:00,15.43,20.39,17.44,23.86,3254.94,3764.33,0.15,19.9,34.07,63.83
2026-09-05T21:00:00+00:00,15.4,23.15,17.44,32.64,3152.59,3452.88,0.13,19.98,33.53,64.77
2026-09-05T22:00:00+00:00,14.96,20.84,16.95,28.3,2957.1,3360.2,0.08,20.07,33.15,66.59
2026-09-05T23:00:00+00:00,15.19,22.1,17.21,29.19,2774.3,3106.16,0.18,19.93,32.91,67.14
2026-09-06T00:00:00+00:00,16.27,29.65,18.29,38.46,3372.38,6492.64,0.2,20.15,32.53,67.13
2026-09-06T01:00:00+00:00,16.21,28.34,18.3,31.16,2639.08,2847.37,0.1,19.97,32.71,67.13
2026-09-06T02:00:00+00:00,14.89,27.41,17.61,32.45,2648.86,2987.71,0.15,19.99,32.8,66.83
2026-09-06T03:00:00+00:00,14.86,23.27,17.56,33.81,2677.85,2968.57,0.22,19.98,33.16,65.65
2026-09-06T04:00:00+00:00,15.46,22.73,17.83,26.6,2664.89,3081.54,0.13,20.0,33.45,64.37
2026-09-06T05:00:00+00:00,15.28,20.37,18.07,26.2,2678.59,2963.06,0.08,20.06,33.54,64.13
2026-09-06T06:00:00+00:00,15.79,24.52,17.34,25.47,2720.36,3095.41,0.12,20.02,34.15,63.2
2026-09-06T07:00:00+00:00,15.56,24.81,17.86,28.88,2915.78,3287.98,0.18,20.17,34.47,62.16
2026-09-06T08:00:00+00:00,14.95,19.56,17.89,27.06,3193.31,3517.17,0.09,22.91,35.02,60.97
2026-09-06T09:00:00+00:00,39.8,65.4,44.18,71.63,3469.51,3796.64,0.2,29.06,35.87,58.4
2026-09-06T10:00:00+00:00,15.81,58.07,18.19,69.74,3493.71,3905.22,0.15,35.04,36.53,56.91
2026-09-06T11:00:00+00:00,14.89,22.51,18.14,27.73,3207.08,3565.15,0.1,40.66,37.3,54.69
2026-09-06T12:00:00+00:00,15.4,23.07,17.44,27.28,2905.25,3227.4,0.22,38.62,37.69,53.83
2026-09-06T13:00:00+00:00,14.95,21.65,17.7,26.49,2793.73,3187.13,0.23,46.2,37.8,53.96
