created_at,pm25_ugm3,pm10_ugm3,co_ugm3,no2_ugm3,o3_ugm3,temperature,humidity
2026-08-30T14:23:00+00:00,18.68,18.88,2578.62,0.35,21.08,37.86,59.33
2026-08-30T14:24:00+00:00,14.86,13.4,2741.37,0.0,73.91,36.45,61.52
2026-08-30T14:25:00+00:00,16.93,19.55,2711.59,0.85,19.98,37.9,52.02
2026-08-30T14:26:00+00:00,15.43,16.66,2467.91,0.0,73.0,38.12,55.52
2026-08-30T14:27:00+00:00,14.86,11.69,2613.75,0.0,20.78,39.21,51.56
2026-08-30T14:28:00+00:00,17.22,20.76,2516.04,0.0,21.05,38.31,48.69
2026-08-30T14:29:00+00:00,15.24,18.55,2966.75,0.0,19.71,37.82,55.06
2026-08-30T14:30:00+00:00,14.16,17.96,2509.41,0.0,58.46,36.43,57.12
2026-08-30T14:31:00+00:00,14.92,20.15,2397.36,0.0,20.86,37.71,56.24
2026-08-30T14:32:00+00:00,15.83,17.99,2562.72,0.32,76.69,37.59,55.18
2026-08-30T14:33:00+00:00,19.83,25.19,2555.83,0.0,56.95,39.29,49.26
2026-08-30T14:34:00+00:00,11.71,11.19,2875.34,0.0,57.31,37.94,48.49
2026-08-30T14:35:00+00:00,17.74,20.08,2784.62,0.78,61.61,36.94,57.84
2026-08-30T14:36:00+00:00,13.24,17.43,2801.95,0.0,20.36,38.15,52.92
2026-08-30T14:37:00+00:00,20.84,24.37,2864.93,0.0,61.09,36.15,58.19
2026-08-30T14:38:00+00:00,17.15,17.67,2766.41,0.0,20.04,39.34,52.92
2026-08-30T14:39:00+00:00,14.03,10.12,2950.43,0.0,20.31,37.02,53.46
2026-08-30T14:40:00+00:00,16.78,18.08,2496.18,0.0,21.05,37.47,57.67
2026-08-30T14:41:00+00:00,17.28,16.49,2483.4,0.0,65.77,38.67,51.86
2026-08-30T14:42:00+00:00,15.98,22.21,2786.56,0.47,20.13,39.06,55.5
2026-08-30T14:43:00+00:00,15.36,16.86,2660.32,0.51,58.86,37.96,53.18
2026-08-30T14:44:00+00:00,16.3,16.0,2818.05,0.0,79.65,36.84,54.63
2026-08-30T14:45:00+00:00,18.31,19.43,2867.67,0.0,62.92,39.06,47.01
2026-08-30T14:46:00+00:00,13.41,16.28,2649.19,0.45,65.67,37.43,55.71
2026-08-30T14:47:00+00:00,17.6,19.55,3004.02,0.0,21.01,38.49,52.51
2026-08-30T14:48:00+00:00,13.14,12.51,2753.45,0.0,80.82,36.81,53.28
2026-08-30T14:49:00+00:00,16.51,21.92,2712.87,0.0,20.2,37.27,55.39
2026-08-30T14:50:00+00:00,16.58,16.74,2809.67,0.0,56.3,37.71,50.7
2026-08-30T14:51:00+00:00,15.39,16.08,2590.17,0.31,20.47,37.35,52.24
2026-08-30T14:52:00+00:00,12.58,13.73,2646.51,0.0,70.18,38.1,52.11
2026-08-30T14:53:00+00:00,16.57,20.75,2638.78,0.0,62.58,38.45,46.82
2026-08-30T14:54:00+00:00,14.1,12.95,2866.51,0.0,77.16,38.54,51.36
2026-08-30T14:55:00+00:00,15.1,20.4,2558.27,0.95,20.33,36.41,52.12
2026-08-30T14:56:00+00:00,17.05,18.37,2600.08,0.66,72.01,36.52,56.23
2026-08-30T14:57:00+00:00,17.2,17.74,2621.74,0.0,78.86,37.95,54.13
2026-08-30T14:58:00+00:00,10.6,16.22,2749.36,0.0,66.72,36.97,56.99
2026-08-30T14:59:00+00:00,17.54,22.86,2919.8,0.0,20.78,38.32,54.32
2026-08-30T15:00:00+00:00,12.42,14.89,2510.25,0.0,73.4,38.18,56.77
2026-08-30T15:01:00+00:00,11.97,9.33,2457.1,0.0,19.82,38.17,53.45
2026-08-30T15:02:00+00:00,15.34,25.47,2729.86,0.0,52.68,38.4,48.29
2026-08-30T15:03:00+00:00,15.23,19.19,2742.52,0.0,20.06,37.61,54.91
2026-08-30T15:04:00+00:00,13.32,14.58,2489.52,0.0,56.7,36.85,55.58
2026-08-30T15:05:00+00:00,18.28,20.37,2523.43,0.0,54.34,37.7,52.16
2026-08-30T15:06:00+00:00,16.94,17.59,2914.57,1.42,65.14,38.22,50.21
2026-08-30T15:07:00+00:00,14.97,13.85,2663.97,0.0,20.83,37.5,54.13
2026-08-30T15:08:00+00:00,14.88,18.03,2631.8,0.0,20.59,38.14,52.91
2026-08-30T15:09:00+00:00,19.32,23.53,2637.18,0.0,68.93,38.44,48.33
2026-08-30T15:10:00+00:00,16.43,23.36,2855.16,0.0,56.61,38.7,47.43
2026-08-30T15:11:00+00:00,22.68,23.46,2216.81,0.0,20.7,37.47,52.61
2026-08-30T15:12:00+00:00,13.92,21.96,2547.89,0.0,20.25,38.49,50.34
2026-08-30T15:13:00+00:00,11.42,14.68,2659.19,0.0,19.87,37.6,56.01
2026-08-30T15:14:00+00:00,12.2,12.43,2649.63,0.0,69.06,37.44,56.59
2026-08-30T15:15:00+00:00,11.55,14.17,2543.74,0.0,19.74,37.34,57.73
2026-08-30T15:16:00+00:00,13.72,17.03,2755.0,0.28,19.84,39.67,50.92
2026-08-30T15:17:00+00:00,15.13,14.91,2846.41,0.0,20.51,38.3,52.96
2026-08-30T15:18:00+00:00,12.73,11.9,2709.28,0.0,20.78,37.09,64.23
2026-08-30T15:19:00+00:00,17.98,18.64,2810.72,0.0,19.86,37.97,52.05
2026-08-30T15:20:00+00:00,14.38,17.23,2485.17,0.0,74.37,38.0,48.39
2026-08-30T15:21:00+00:00,14.4,15.6,2625.75,0.25,19.66,37.36,53.99
2026-08-30T15:22:00+00:00,15.81,20.37,2766.21,0.23,20.16,37.76,48.88
2026-08-30T15:23:00+00:00,11.17,8.96,2734.23,0.0,72.55,37.28,58.68
2026-08-30T15:24:00+00:00,15.91,20.12,2595.96,0.0,20.56,36.97,54.51
2026-08-30T15:25:00+00:00,15.31,16.04,2880.76,0.0,21.08,36.98,59.56
2026-08-30T15:26:00+00:00,10.89,7.5,3115.45,0.0,71.65,38.69,51.42
2026-08-30T15:27:00+00:00,15.54,18.67,2617.07,0.62,68.12,38.88,50.81
2026-08-30T15:28:00+00:00,15.48,17.3,2615.05,0.43,62.85,37.45,57.25
2026-08-30T15:29:00+00:00,11.25,13.84,2735.98,0.85,59.58,37.23,51.72
2026-08-30T15:30:00+00:00,14.9,17.62,2858.51,0.0,20.12,37.93,51.71
2026-08-30T15:31:00+00:00,12.14,11.27,2694.65,0.4,19.74,36.25,59.7
2026-08-30T15:32:00+00:00,8.56,11.5,2661.4,0.0,21.08,37.82,52.33
2026-08-30T15:33:00+00:00,15.51,14.43,2814.96,0.0,20.05,38.81,49.05
2026-08-30T15:34:00+00:00,10.55,12.65,2573.15,0.0,65.71,39.28,57.01
2026-08-30T15:35:00+00:00,14.92,17.99,2884.54,0.0,20.65,37.19,54.78
2026-08-30T15:36:00+00:00,17.06,21.91,2716.01,0.0,20.01,37.93,52.59
2026-08-30T15:37:00+00:00,19.42,22.48,2752.03,0.0,21.0,37.58,55.99
2026-08-30T15:38:00+00:00,15.99,17.72,2509.69,0.0,65.94,37.49,51.71
2026-08-30T15:39:00+00:00,13.84,16.69,2877.14,0.0,20.61,37.14,53.11
2026-08-30T15:40:00+00:00,14.23,18.23,2528.12,0.0,62.4,35.94,61.38
2026-08-30T15:41:00+00:00,13.2,15.59,2598.44,0.0,20.85,37.27,52.4
2026-08-30T15:42:00+00:00,15.49,17.72,2487.79,0.0,53.62,37.56,62.25
2026-08-30T15:43:00+00:00,12.43,17.97,2920.62,0.0,19.95,38.65,46.68
2026-08-30T15:44:00+00:00,14.22,14.64,2818.29,0.0,19.88,37.48,60.04
2026-08-30T15:45:00+00:00,16.17,19.88,2688.45,0.0,59.69,36.78,59.96
2026-08-30T15:46:00+00:00,17.05,18.78,2890.75,0.13,19.79,36.12,60.47
2026-08-30T15:47:00+00:00,17.6,19.24,2723.6,0.0,19.76,36.89,61.19
2026-08-30T15:48:00+00:00,17.76,19.71,2545.83,0.32,51.39,36.84,54.91
2026-08-30T15:49:00+00:00,19.32,21.79,2589.63,0.62,52.69,37.13,57.7
2026-08-30T15:50:00+00:00,17.97,23.96,2712.38,0.0,20.83,37.11,55.87
2026-08-30T15:51:00+00:00,11.87,19.1,2677.5,0.0,21.08,36.87,54.3
2026-08-30T15:52:00+00:00,12.9,13.73,2484.97,1.08,20.75,36.01,56.53
2026-08-30T15:53:00+00:00,15.39,16.45,2790.46,0.0,20.31,37.56,57.45
2026-08-30T15:54:00+00:00,16.24,21.93,2681.73,0.0,20.27,35.71,60.21
2026-08-30T15:55:00+00:00,15.25,18.81,2827.37,0.0,20.18,37.41,55.92
2026-08-30T15:56:00+00:00,11.99,15.08,2551.75,0.47,20.67,37.59,50.94
2026-08-30T15:57:00+00:00,15.93,18.73,2735.51,0.0,62.73,38.84,48.84
2026-08-30T15:58:00+00:00,15.77,17.12,2744.5,0.0,20.75,37.93,53.55
2026-08-30T15:59:00+00:00,14.57,17.38,2549.32,0.0,50.52,38.24,49.72
2026-08-30T16:00:00+00:00,14.15,12.94,2784.59,0.63,20.44,36.59,60.85
2026-08-30T16:01:00+00:00,15.96,17.45,2842.87,0.13,19.85,37.82,50.63
2026-08-30T16:02:00+00:00,17.4,16.55,2592.53,0.0,53.22,35.75,58.16
2026-08-30T16:03:00+00:00,18.67,26.42,2783.82,0.0,56.39,39.25,50.46
2026-08-30T16:04:00+00:00,20.28,21.03,2924.93,0.0,20.23,36.7,60.75
2026-08-30T16:05:00+00:00,15.31,21.88,2729.94,0.0,19.77,37.31,53.48
2026-08-30T16:06:00+00:00,14.21,19.35,2685.06,0.0,19.96,37.55,53.18
2026-08-30T16:07:00+00:00,14.04,19.1,2557.92,0.0,20.41,35.65,58.8
2026-08-30T16:08:00+00:00,14.13,21.81,3159.83,0.0,50.17,37.31,47.35
2026-08-30T16:09:00+00:00,15.05,14.61,2564.47,0.0,20.4,36.84,57.6
2026-08-30T16:10:00+00:00,9.25,10.46,2991.59,1.44,20.63,36.81,54.54
2026-08-30T16:11:00+00:00,16.37,22.69,2799.07,0.0,43.16,37.06,56.53
2026-08-30T16:12:00+00:00,16.41,18.45,2751.02,0.0,43.28,37.13,58.66
2026-08-30T16:13:00+00:00,20.98,25.54,2753.44,0.22,19.7,36.82,51.08
2026-08-30T16:14:00+00:00,15.07,23.54,2937.33,0.0,20.83,36.52,60.93
2026-08-30T16:15:00+00:00,12.42,12.12,3009.25,0.67,21.13,36.96,54.41
2026-08-30T16:16:00+00:00,14.27,12.55,2775.17,0.27,56.67,37.83,53.2
2026-08-30T16:17:00+00:00,12.6,14.76,2632.34,0.22,19.87,36.38,52.05
2026-08-30T16:18:00+00:00,13.39,16.57,2720.25,0.0,20.32,37.19,53.55
2026-08-30T16:19:00+00:00,14.2,15.46,2680.6,0.0,20.99,37.4,52.19
2026-08-30T16:20:00+00:00,16.28,20.01,2649.93,0.0,20.96,36.18,56.45
2026-08-30T16:21:00+00:00,17.38,14.68,2792.31,0.0,20.21,37.87,54.47
2026-08-30T16:22:00+00:00,18.27,22.3,2903.87,0.0,20.9,37.23,52.32
2026-08-30T16:23:00+00:00,9.19,8.2,2655.13,0.0,20.1,36.58,56.77
2026-08-30T16:24:00+00:00,16.57,18.48,2743.53,0.22,20.18,36.48,61.16
2026-08-30T16:25:00+00:00,13.27,11.94,2874.59,0.0,20.63,35.83,59.79
2026-08-30T16:26:00+00:00,10.51,8.65,2638.69,0.0,42.76,38.08,53.44
2026-08-30T16:27:00+00:00,15.3,15.9,3171.69,0.0,20.45,34.56,64.69
2026-08-30T16:28:00+00:00,17.08,19.74,2872.15,0.0,21.11,37.21,58.72
2026-08-30T16:29:00+00:00,9.61,8.9,2649.08,0.0,20.37,36.97,55.76
2026-08-30T16:30:00+00:00,15.41,12.88,2742.53,0.0,19.91,36.2,60.8
2026-08-30T16:31:00+00:00,16.16,14.89,2841.75,0.0,48.26,37.19,52.39
2026-08-30T16:32:00+00:00,11.83,16.31,2494.77,0.0,19.95,38.62,51.69
2026-08-30T16:33:00+00:00,13.2,14.47,2816.61,0.0,52.14,37.84,50.33
2026-08-30T16:34:00+00:00,16.04,17.81,2760.85,0.0,49.75,36.3,57.74
2026-08-30T16:35:00+00:00,19.49,21.5,2811.67,0.0,20.37,36.69,55.11
2026-08-30T16:36:00+00:00,19.9,27.08,2851.73,0.0,20.1,36.33,57.27
2026-08-30T16:37:00+00:00,15.97,16.25,2909.52,0.0,53.31,36.86,59.44
2026-08-30T16:38:00+00:00,13.23,17.45,2776.57,0.0,52.0,36.48,54.81
2026-08-30T16:39:00+00:00,19.9,23.38,2782.59,0.0,20.01,35.46,60.55
2026-08-30T16:40:00+00:00,12.35,12.93,2690.75,0.0,48.13,36.67,61.17
2026-08-30T16:41:00+00:00,11.88,16.55,2706.65,0.0,38.6,37.19,53.34
2026-08-30T16:42:00+00:00,14.4,17.45,2779.93,0.0,52.33,35.61,58.02
2026-08-30T16:43:00+00:00,17.5,22.3,2735.65,0.0,20.08,37.55,59.72
2026-08-30T16:44:00+00:00,15.65,18.58,2931.54,0.26,20.79,36.25,56.73
2026-08-30T16:45:00+00:00,14.31,20.75,2576.21,0.0,20.73,36.98,61.72
2026-08-30T16:46:00+00:00,19.26,22.89,2758.09,0.0,42.35,36.33,58.84
2026-08-30T16:47:00+00:00,10.73,11.86,2748.23,0.0,19.79,36.83,55.23
2026-08-30T16:48:00+00:00,13.59,14.83,2760.46,0.0,38.99,37.81,56.43
2026-08-30T16:49:00+00:00,19.07,21.91,2899.78,0.71,36.89,36.33,62.09
2026-08-30T16:50:00+00:00,17.37,18.76,2673.87,0.48,40.84,36.08,62.52
2026-08-30T16:51:00+00:00,19.4,20.02,2837.7,0.0,42.99,36.26,54.35
2026-08-30T16:52:00+00:00,15.57,16.06,2683.57,0.0,48.46,36.35,51.02
2026-08-30T16:53:00+00:00,11.21,9.09,2750.32,0.0,20.68,37.71,56.25
2026-08-30T16:54:00+00:00,14.01,21.7,2768.69,0.0,19.97,36.63,54.66
2026-08-30T16:55:00+00:00,11.42,13.71,2713.99,0.63,37.2,36.02,56.4
2026-08-30T16:56:00+00:00,13.87,15.82,2667.0,0.32,40.41,35.94,60.79
2026-08-30T16:57:00+00:00,15.15,16.87,2821.94,0.0,20.77,36.06,62.12
2026-08-30T16:58:00+00:00,14.91,17.99,2882.35,0.0,47.56,35.51,62.03
2026-08-30T16:59:00+00:00,15.36,17.84,3112.72,0.2,40.78,36.53,54.3
2026-08-30T17:00:00+00:00,18.23,23.97,3035.91,0.0,44.44,35.42,58.19
2026-08-30T17:01:00+00:00,19.32,20.58,2946.84,0.0,20.76,38.13,53.78
2026-08-30T17:02:00+00:00,18.94,21.26,2837.31,0.0,38.91,37.18,55.32
2026-08-30T17:03:00+00:00,16.76,19.37,2875.61,0.0,20.47,37.3,57.71
2026-08-30T17:04:00+00:00,11.65,15.24,2699.87,0.14,20.81,35.41,61.75
2026-08-30T17:05:00+00:00,13.03,11.36,3052.39,0.0,20.6,37.05,54.38
2026-08-30T17:06:00+00:00,12.1,10.28,2899.98,0.0,19.78,37.97,52.15
2026-08-30T17:07:00+00:00,19.9,24.25,2975.59,0.0,35.06,37.85,54.1
2026-08-30T17:08:00+00:00,17.77,18.07,2856.19,0.0,40.47,35.31,56.59
2026-08-30T17:09:00+00:00,12.42,13.58,2870.71,0.0,20.83,34.22,60.68
2026-08-30T17:10:00+00:00,17.22,21.95,2754.84,0.0,36.25,36.69,55.06
2026-08-30T17:11:00+00:00,8.0,7.77,2861.7,0.0,20.5,37.19,54.26
2026-08-30T17:12:00+00:00,18.44,19.58,2838.94,0.0,19.96,36.31,54.19
2026-08-30T17:13:00+00:00,14.35,21.31,2832.54,0.23,41.62,35.1,63.02
2026-08-30T17:14:00+00:00,10.78,11.57,2776.7,0.0,20.4,37.87,50.51
2026-08-30T17:15:00+00:00,19.36,20.23,3014.55,0.0,19.7,36.82,57.82
2026-08-30T17:16:00+00:00,13.81,16.26,3235.83,0.0,37.07,35.76,59.78
2026-08-30T17:17:00+00:00,12.77,11.02,2873.39,0.0,20.18,36.62,56.29
2026-08-30T17:18:00+00:00,13.55,14.79,2854.1,0.0,19.88,36.03,61.32
2026-08-30T17:19:00+00:00,12.27,13.28,2843.69,0.0,40.67,36.55,54.97
2026-08-30T17:20:00+00:00,17.16,16.0,2887.63,0.0,20.81,36.59,55.16
2026-08-30T17:21:00+00:00,14.67,15.7,2920.54,0.0,36.17,37.86,53.09
2026-08-30T17:22:00+00:00,17.11,16.38,2668.74,0.0,20.61,34.7,60.57
2026-08-30T17:23:00+00:00,9.05,7.5,2818.79,0.0,33.73,37.32,45.85
2026-08-30T17:24:00+00:00,17.7,21.17,3009.48,0.0,20.59,35.04,62.58
2026-08-30T17:25:00+00:00,17.59,18.94,2705.69,1.55,20.37,37.95,53.52
2026-08-30T17:26:00+00:00,18.13,22.01,2820.26,0.0,19.93,37.59,54.53
2026-08-30T17:27:00+00:00,20.83,24.32,3057.75,0.67,40.59,36.51,62.79
2026-08-30T17:28:00+00:00,12.89,11.62,2888.66,0.0,20.68,36.24,58.53
2026-08-30T17:29:00+00:00,20.54,26.81,2835.62,1.14,40.1,37.04,53.6
2026-08-30T17:30:00+00:00,13.91,16.13,2947.55,1.08,20.11,34.36,67.42
2026-08-30T17:31:00+00:00,16.1,16.99,2737.96,0.0,32.42,36.11,56.85
2026-08-30T17:32:00+00:00,15.03,18.44,2778.02,0.0,34.51,36.59,54.66
2026-08-30T17:33:00+00:00,10.38,9.63,3091.16,0.0,19.83,34.7,64.91
2026-08-30T17:34:00+00:00,19.63,23.44,2855.02,0.0,33.62,36.72,55.38
2026-08-30T17:35:00+00:00,19.23,21.1,3088.54,0.0,20.06,35.73,57.67
2026-08-30T17:36:00+00:00,18.69,19.65,2872.45,0.0,36.94,36.04,54.45
2026-08-30T17:37:00+00:00,13.41,20.83,2992.79,0.0,30.45,33.09,64.28
2026-08-30T17:38:00+00:00,18.77,18.93,2906.42,0.0,20.35,37.14,54.65
2026-08-30T17:39:00+00:00,13.96,15.9,2832.35,0.0,20.18,35.97,60.82
2026-08-30T17:40:00+00:00,15.25,16.72,3004.49,0.0,19.88,36.67,56.23
2026-08-30T17:41:00+00:00,14.49,15.43,2854.94,0.22,19.8,35.04,61.6
2026-08-30T17:42:00+00:00,16.52,17.32,3018.59,0.41,20.19,36.9,55.61
2026-08-30T17:43:00+00:00,17.2,13.25,2989.87,0.0,32.72,35.29,63.31
2026-08-30T17:44:00+00:00,21.11,22.88,3037.76,1.01,36.03,36.04,59.53
2026-08-30T17:45:00+00:00,13.26,19.5,2856.52,0.0,31.55,35.94,58.42
2026-08-30T17:46:00+00:00,12.05,18.39,2964.4,0.0,20.69,36.04,54.59
2026-08-30T17:47:00+00:00,18.04,17.27,2973.19,0.65,20.59,35.49,60.84
2026-08-30T17:48:00+00:00,18.86,22.66,3117.24,0.0,20.62,37.94,55.07
2026-08-30T17:49:00+00:00,15.43,17.51,2800.82,0.0,28.51,34.73,55.78
2026-08-30T17:50:00+00:00,16.49,21.84,3224.46,0.43,20.21,36.94,57.3
2026-08-30T17:51:00+00:00,14.39,12.46,3225.66,0.0,20.53,34.76,67.33
2026-08-30T17:52:00+00:00,16.2,20.59,2902.44,0.0,30.81,38.14,56.64
2026-08-30T17:53:00+00:00,19.73,23.68,3031.38,0.0,19.87,35.75,58.26
2026-08-30T17:54:00+00:00,13.85,19.42,3269.67,0.0,28.43,34.99,66.13
2026-08-30T17:55:00+00:00,15.75,16.95,3044.03,0.0,20.11,35.25,57.69
2026-08-30T17:56:00+00:00,15.53,18.93,2973.93,0.0,20.28,36.02,56.52
2026-08-30T17:57:00+00:00,15.22,19.47,2836.96,1.32,20.15,35.26,63.76
2026-08-30T17:58:00+00:00,14.33,20.32,3121.49,0.28,20.88,35.1,59.9
2026-08-30T17:59:00+00:00,15.21,17.44,3171.21,0.0,29.53,35.69,56.74
2026-08-30T18:00:00+00:00,14.52,18.92,3013.06,0.0,20.2,35.61,60.58
2026-08-30T18:01:00+00:00,17.14,18.97,3088.99,0.73,20.57,35.94,66.62
2026-08-30T18:02:00+00:00,16.66,18.14,3042.28,0.0,32.54,35.26,58.6
2026-08-30T18:03:00+00:00,17.68,21.55,3131.17,0.0,21.13,36.2,57.43
2026-08-30T18:04:00+00:00,15.7,21.59,3119.78,0.27,30.23,34.02,64.47
2026-08-30T18:05:00+00:00,14.26,16.18,3101.4,0.0,20.91,35.83,57.01
2026-08-30T18:06:00+00:00,15.71,19.38,3089.31,0.0,30.16,35.39,62.2
2026-08-30T18:07:00+00:00,18.45,21.55,2974.4,0.58,20.23,35.54,55.57
2026-08-30T18:08:00+00:00,16.88,15.01,2895.12,0.0,28.51,36.82,59.47
2026-08-30T18:09:00+00:00,17.93,22.02,3146.65,0.0,19.8,34.81,62.18
2026-08-30T18:10:00+00:00,13.67,15.05,2941.48,0.0,20.78,34.42,63.71
2026-08-30T18:11:00+00:00,11.87,16.39,3147.78,0.0,27.98,37.46,54.67
2026-08-30T18:12:00+00:00,15.89,16.76,3217.53,0.6,27.04,35.56,58.12
2026-08-30T18:13:00+00:00,14.49,17.08,2896.09,0.17,20.42,34.2,62.17
2026-08-30T18:14:00+00:00,11.24,13.49,3155.97,0.0,28.39,34.76,59.1
2026-08-30T18:15:00+00:00,14.28,27.62,2980.51,0.0,26.85,35.46,59.27
2026-08-30T18:16:00+00:00,17.46,22.77,2974.51,0.87,19.69,33.77,65.14
2026-08-30T18:17:00+00:00,13.76,12.76,3169.76,0.0,19.86,35.14,61.91
2026-08-30T18:18:00+00:00,14.57,14.87,3029.83,0.6,26.94,35.67,61.55
2026-08-30T18:19:00+00:00,20.69,19.02,3222.64,0.94,28.9,34.29,65.89
2026-08-30T18:20:00+00:00,12.47,15.63,3327.06,0.0,27.94,35.63,61.11
2026-08-30T18:21:00+00:00,14.34,11.98,3232.19,1.15,20.1,34.9,63.98
2026-08-30T18:22:00+00:00,13.66,10.81,2991.19,0.0,20.77,34.54,62.43
2026-08-30T18:23:00+00:00,9.0,10.68,3103.59,0.0,25.12,35.02,57.88
2026-08-30T18:24:00+00:00,15.6,16.48,3318.74,0.0,25.55,36.43,58.06
2026-08-30T18:25:00+00:00,16.24,22.9,2896.68,0.22,20.64,35.32,55.25
2026-08-30T18:26:00+00:00,17.16,17.75,2943.82,0.19,20.5,35.15,60.58
2026-08-30T18:27:00+00:00,13.83,19.14,2902.64,0.0,19.77,37.42,63.29
2026-08-30T18:28:00+00:00,16.44,18.97,3164.14,0.0,26.07,35.56,56.67
2026-08-30T18:29:00+00:00,13.94,21.31,3208.77,0.35,26.8,35.84,58.35
2026-08-30T18:30:00+00:00,16.43,18.78,3112.76,0.0,21.02,35.14,60.07
2026-08-30T18:31:00+00:00,14.35,17.75,2904.32,0.0,20.58,34.65,57.9
2026-08-30T18:32:00+00:00,13.31,16.03,3291.84,0.68,20.81,36.53,56.55
2026-08-30T18:33:00+00:00,17.88,20.27,3314.62,0.56,19.8,35.86,62.13
2026-08-30T18:34:00+00:00,16.74,17.87,3551.08,0.0,20.21,34.53,57.94
2026-08-30T18:35:00+00:00,16.51,20.78,3009.97,0.0,19.85,35.38,59.47
2026-08-30T18:36:00+00:00,12.24,14.25,3243.75,0.0,23.77,33.96,64.58
2026-08-30T18:37:00+00:00,15.25,12.69,3139.03,0.0,19.68,35.04,60.01
2026-08-30T18:38:00+00:00,11.44,12.76,3054.35,0.19,24.05,34.95,61.5
2026-08-30T18:39:00+00:00,17.16,23.54,2885.93,0.0,19.85,35.34,60.15
2026-08-30T18:40:00+00:00,16.37,20.02,3064.43,0.0,24.4,34.26,61.1
2026-08-30T18:41:00+00:00,15.58,17.99,3043.24,0.0,24.08,36.15,59.82
2026-08-30T18:42:00+00:00,17.66,19.21,3159.51,0.0,19.69,38.18,54.13
2026-08-30T18:43:00+00:00,15.1,17.08,3253.46,0.0,22.83,33.07,64.78
2026-08-30T18:44:00+00:00,14.81,17.24,3214.59,0.0,20.52,36.67,57.05
2026-08-30T18:45:00+00:00,14.2,14.74,3201.57,0.0,23.84,34.94,58.71
2026-08-30T18:46:00+00:00,16.35,21.27,3186.2,0.0,19.9,36.26,59.85
2026-08-30T18:47:00+00:00,18.75,22.65,3245.98,0.5,22.79,34.46,65.35
2026-08-30T18:48:00+00:00,16.81,23.93,3540.59,0.19,20.6,34.91,64.15
2026-08-30T18:49:00+00:00,15.32,19.49,3173.12,0.54,22.38,36.39,56.55
2026-08-30T18:50:00+00:00,17.78,19.79,3196.37,0.0,19.82,36.18,57.35
