created_at,pm25_ugm3,pm10_ugm3,co_ugm3,no2_ugm3,o3_ugm3,any_zscore_anomaly,zscore_anomaly_count,iforest_anomaly,iforest_score,anomaly_evidence,anomaly_level,anomaly_alert,ispu_total,dominant_pollutant,ispu_category,air_quality_alert,forecast_at,forecast_indicator_total,forecast_dominant_pollutant,forecast_alert,has_alert,alert_type,severity,alert_message,alert_event_id
2026-08-30 14:00:00+00:00,13.12,17.95,2725.39,0.0,19.96,False,0,False,0.1942103711178054,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:01:00+00:00,14.95,20.08,2414.95,0.0,85.91,False,0,False,0.1090979480204399,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:02:00+00:00,16.57,14.29,2683.37,0.0,57.01,False,0,False,0.1854668118388192,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:03:00+00:00,19.32,21.28,2835.91,0.0,56.92,False,0,False,0.1789261270068429,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:04:00+00:00,10.5,16.52,2584.74,0.0,19.83,False,0,False,0.2463404847928497,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:05:00+00:00,17.63,19.08,2676.09,0.0,85.33,False,0,False,0.1249921879432628,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:06:00+00:00,17.64,21.66,2719.76,0.0,20.64,False,0,False,0.2262414615579607,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:07:00+00:00,15.73,14.24,2582.03,0.0,20.59,False,0,False,0.1645272918722889,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:08:00+00:00,11.35,14.75,2916.99,0.0,20.7,False,0,False,0.250728203203751,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:09:00+00:00,19.15,23.76,2693.71,0.0,20.63,False,0,False,0.2207894285135799,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:10:00+00:00,11.88,11.97,2847.13,0.0,83.9,False,0,False,0.1169686027381859,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:11:00+00:00,15.3,20.95,2733.59,0.0,62.22,False,0,False,0.1560753283536424,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:12:00+00:00,16.35,18.66,2691.14,0.0,65.9,False,0,False,0.1370085014375646,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:13:00+00:00,12.33,11.1,2774.36,0.01,20.11,False,0,False,0.2284438423612448,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:14:00+00:00,12.96,13.69,2750.34,0.0,21.05,False,0,False,0.2496858648317902,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:15:00+00:00,11.14,19.1,2562.0,0.0,72.26,False,0,False,0.1418113821373985,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:16:00+00:00,12.67,15.5,2692.78,0.92,20.61,False,0,False,0.1714488645043526,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:17:00+00:00,16.01,21.59,2485.77,0.0,59.39,False,0,False,0.1270572528069441,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:18:00+00:00,15.38,20.16,2672.83,0.0,20.43,False,0,False,0.2671342801168877,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:19:00+00:00,16.13,19.59,2638.43,0.0,20.87,False,0,False,0.2556373601198357,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:20:00+00:00,12.9,14.05,2614.02,0.61,73.66,False,0,False,0.1106805471607895,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:21:00+00:00,15.36,14.88,2660.49,0.0,66.74,False,0,False,0.1506198421082876,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:22:00+00:00,8.82,14.15,2665.64,0.0,73.48,False,0,False,0.1346204743363858,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:23:00+00:00,18.68,18.88,2578.62,0.35,21.08,False,0,False,0.2030459341671481,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:24:00+00:00,14.86,13.4,2741.37,0.0,73.91,False,0,False,0.1339933431959146,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:25:00+00:00,16.93,19.55,2711.59,0.85,19.98,False,0,False,0.1726026708390423,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:26:00+00:00,15.43,16.66,2467.91,0.0,73.0,False,0,False,0.1492250051684416,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:27:00+00:00,14.86,11.69,2613.75,0.0,20.78,False,0,False,0.1796300347749852,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:28:00+00:00,17.22,20.76,2516.04,0.0,21.05,False,0,False,0.1891102287396424,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:29:00+00:00,15.24,18.55,2966.75,0.0,19.71,False,0,False,0.2547340632211901,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:30:00+00:00,14.16,17.96,2509.41,0.0,58.46,False,0,False,0.1873437273397706,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:31:00+00:00,14.92,20.15,2397.36,0.0,20.86,False,0,False,0.2233059657550986,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:32:00+00:00,15.83,17.99,2562.72,0.32,76.69,False,0,False,0.1131035665521487,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:33:00+00:00,19.83,25.19,2555.83,0.0,56.95,False,0,False,0.0785136045312863,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:34:00+00:00,11.71,11.19,2875.34,0.0,57.31,False,0,False,0.1346582385527079,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:35:00+00:00,17.74,20.08,2784.62,0.78,61.61,False,0,False,0.1297456511713083,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:36:00+00:00,13.24,17.43,2801.95,0.0,20.36,False,0,False,0.2452100279751737,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:37:00+00:00,20.84,24.37,2864.93,0.0,61.09,False,0,False,0.1480302848710906,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:38:00+00:00,17.15,17.67,2766.41,0.0,20.04,False,0,False,0.197539519684333,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:39:00+00:00,14.03,10.12,2950.43,0.0,20.31,False,0,False,0.2252803295177443,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:40:00+00:00,16.78,18.08,2496.18,0.0,21.05,False,0,False,0.2438572920551138,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:41:00+00:00,17.28,16.49,2483.4,0.0,65.77,False,0,False,0.1296226169103698,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:42:00+00:00,15.98,22.21,2786.56,0.47,20.13,False,0,False,0.1700484682048518,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:43:00+00:00,15.36,16.86,2660.32,0.51,58.86,False,0,False,0.1414662609946976,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:44:00+00:00,16.3,16.0,2818.05,0.0,79.65,False,0,False,0.1563359252845824,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:45:00+00:00,18.31,19.43,2867.67,0.0,62.92,False,0,False,0.1004656911204673,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:46:00+00:00,13.41,16.28,2649.19,0.45,65.67,False,0,False,0.1377962058165986,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:47:00+00:00,17.6,19.55,3004.02,0.0,21.01,False,0,False,0.224026411644553,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:48:00+00:00,13.14,12.51,2753.45,0.0,80.82,False,0,False,0.1350571721539591,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:49:00+00:00,16.51,21.92,2712.87,0.0,20.2,False,0,False,0.2483275252784956,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:50:00+00:00,16.58,16.74,2809.67,0.0,56.3,False,0,False,0.1816329606640133,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:51:00+00:00,15.39,16.08,2590.17,0.31,20.47,False,0,False,0.2094070621159249,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:52:00+00:00,12.58,13.73,2646.51,0.0,70.18,False,0,False,0.1524509257366253,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:53:00+00:00,16.57,20.75,2638.78,0.0,62.58,False,0,False,0.1212436384446358,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:54:00+00:00,14.1,12.95,2866.51,0.0,77.16,False,0,False,0.1236068093540514,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:55:00+00:00,15.1,20.4,2558.27,0.95,20.33,True,1,False,0.1745950739491327,Z-Score,Observation,False,,,,False,,,,,False,None,None,,
2026-08-30 14:56:00+00:00,17.05,18.37,2600.08,0.66,72.01,False,0,False,0.1120888316120555,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:57:00+00:00,17.2,17.74,2621.74,0.0,78.86,False,0,False,0.1445062384178522,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:58:00+00:00,10.6,16.22,2749.36,0.0,66.72,False,0,False,0.1714677355107618,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 14:59:00+00:00,17.54,22.86,2919.8,0.0,20.78,False,0,False,0.2253868642150127,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:00:00+00:00,12.42,14.89,2510.25,0.0,73.4,False,0,False,0.1406012882825992,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:01:00+00:00,11.97,9.33,2457.1,0.0,19.82,False,0,False,0.1714578546773951,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:02:00+00:00,15.34,25.47,2729.86,0.0,52.68,False,0,False,0.1342837750292181,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:03:00+00:00,15.23,19.19,2742.52,0.0,20.06,False,0,False,0.257251032089053,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:04:00+00:00,13.32,14.58,2489.52,0.0,56.7,False,0,False,0.1839683764655859,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:05:00+00:00,18.28,20.37,2523.43,0.0,54.34,False,0,False,0.1675801851179183,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:06:00+00:00,16.94,17.59,2914.57,1.42,65.14,True,1,False,0.0473626079905369,Z-Score,Observation,False,,,,False,,,,,False,None,None,,
2026-08-30 15:07:00+00:00,14.97,13.85,2663.97,0.0,20.83,False,0,False,0.2455238386287533,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:08:00+00:00,14.88,18.03,2631.8,0.0,20.59,False,0,False,0.2396703842183639,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:09:00+00:00,19.32,23.53,2637.18,0.0,68.93,False,0,False,0.0971002556175928,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:10:00+00:00,16.43,23.36,2855.16,0.0,56.61,False,0,False,0.1183657584187379,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:11:00+00:00,22.68,23.46,2216.81,0.0,20.7,True,2,False,0.1724131845140329,Z-Score,Moderate,True,,,,False,,,,,True,Anomaly,Low,Perubahan tidak biasa terdeteksi pada beberapa parameter kualitas udara.,1.0
2026-08-30 15:12:00+00:00,13.92,21.96,2547.89,0.0,20.25,False,0,False,0.1932200380258332,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:13:00+00:00,11.42,14.68,2659.19,0.0,19.87,False,0,False,0.2445084812204445,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:14:00+00:00,12.2,12.43,2649.63,0.0,69.06,False,0,False,0.1627838087480846,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:15:00+00:00,11.55,14.17,2543.74,0.0,19.74,False,0,False,0.2407071413469216,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:16:00+00:00,13.72,17.03,2755.0,0.28,19.84,False,0,False,0.1606087765596978,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:17:00+00:00,15.13,14.91,2846.41,0.0,20.51,False,0,False,0.2419706106355186,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:18:00+00:00,12.73,11.9,2709.28,0.0,20.78,False,0,False,0.2466251447551142,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:19:00+00:00,17.98,18.64,2810.72,0.0,19.86,False,0,False,0.2355096549666952,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:20:00+00:00,14.38,17.23,2485.17,0.0,74.37,False,0,False,0.1129896519886045,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:21:00+00:00,14.4,15.6,2625.75,0.25,19.66,False,0,False,0.218788247276532,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:22:00+00:00,15.81,20.37,2766.21,0.23,20.16,False,0,False,0.1993617625602537,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:23:00+00:00,11.17,8.96,2734.23,0.0,72.55,False,0,False,0.1207009026609426,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:24:00+00:00,15.91,20.12,2595.96,0.0,20.56,False,0,False,0.2545235398883453,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:25:00+00:00,15.31,16.04,2880.76,0.0,21.08,False,0,False,0.2706900303911226,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:26:00+00:00,10.89,7.5,3115.45,0.0,71.65,False,0,False,0.087415384168705,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:27:00+00:00,15.54,18.67,2617.07,0.62,68.12,False,0,False,0.0849609955145829,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:28:00+00:00,15.48,17.3,2615.05,0.43,62.85,False,0,False,0.1437953473347998,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:29:00+00:00,11.25,13.84,2735.98,0.85,59.58,False,0,False,0.0959665400302822,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:30:00+00:00,14.9,17.62,2858.51,0.0,20.12,False,0,False,0.2435754764953155,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:31:00+00:00,12.14,11.27,2694.65,0.4,19.74,False,0,False,0.2194841621018103,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:32:00+00:00,8.56,11.5,2661.4,0.0,21.08,False,0,False,0.1953567988601747,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:33:00+00:00,15.51,14.43,2814.96,0.0,20.05,False,0,False,0.2038482552829227,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:34:00+00:00,10.55,12.65,2573.15,0.0,65.71,False,0,False,0.1157867164806981,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:35:00+00:00,14.92,17.99,2884.54,0.0,20.65,False,0,False,0.264436443589845,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:36:00+00:00,17.06,21.91,2716.01,0.0,20.01,False,0,False,0.2318179778473569,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:37:00+00:00,19.42,22.48,2752.03,0.0,21.0,False,0,False,0.2346846396051099,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:38:00+00:00,15.99,17.72,2509.69,0.0,65.94,False,0,False,0.1620003090515999,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:39:00+00:00,13.84,16.69,2877.14,0.0,20.61,False,0,False,0.2569567359353326,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:40:00+00:00,14.23,18.23,2528.12,0.0,62.4,False,0,False,0.1666654255286515,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:41:00+00:00,13.2,15.59,2598.44,0.0,20.85,False,0,False,0.2372472974865777,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:42:00+00:00,15.49,17.72,2487.79,0.0,53.62,False,0,False,0.1768033685845662,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:43:00+00:00,12.43,17.97,2920.62,0.0,19.95,False,0,False,0.1831826354697164,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:44:00+00:00,14.22,14.64,2818.29,0.0,19.88,False,0,False,0.2575622436854159,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:45:00+00:00,16.17,19.88,2688.45,0.0,59.69,False,0,False,0.189629848360478,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:46:00+00:00,17.05,18.78,2890.75,0.13,19.79,False,0,False,0.2578400776181278,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:47:00+00:00,17.6,19.24,2723.6,0.0,19.76,False,0,False,0.2627822092089695,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:48:00+00:00,17.76,19.71,2545.83,0.32,51.39,False,0,False,0.157565072536393,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:49:00+00:00,19.32,21.79,2589.63,0.62,52.69,False,0,False,0.1217420749710366,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:50:00+00:00,17.97,23.96,2712.38,0.0,20.83,False,0,False,0.2414185314688518,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:51:00+00:00,11.87,19.1,2677.5,0.0,21.08,False,0,False,0.2504268035878201,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:52:00+00:00,12.9,13.73,2484.97,1.08,20.75,True,1,False,0.1696288210689389,Z-Score,Observation,False,,,,False,,,,,False,None,None,,
2026-08-30 15:53:00+00:00,15.39,16.45,2790.46,0.0,20.31,False,0,False,0.2598072940220784,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:54:00+00:00,16.24,21.93,2681.73,0.0,20.27,False,0,False,0.2714208925360029,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:55:00+00:00,15.25,18.81,2827.37,0.0,20.18,False,0,False,0.2628041834056357,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:56:00+00:00,11.99,15.08,2551.75,0.47,20.67,False,0,False,0.1788600197294486,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:57:00+00:00,15.93,18.73,2735.51,0.0,62.73,False,0,False,0.1428810279651617,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:58:00+00:00,15.77,17.12,2744.5,0.0,20.75,False,0,False,0.2502519848426408,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 15:59:00+00:00,14.57,17.38,2549.32,0.0,50.52,False,0,False,0.1679747015877317,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:00:00+00:00,14.15,12.94,2784.59,0.63,20.44,False,0,False,0.2241916383546538,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:01:00+00:00,15.96,17.45,2842.87,0.13,19.85,False,0,False,0.2135355451204933,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:02:00+00:00,17.4,16.55,2592.53,0.0,53.22,False,0,False,0.2066069705515772,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:03:00+00:00,18.67,26.42,2783.82,0.0,56.39,False,0,False,0.0946161633547552,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:04:00+00:00,20.28,21.03,2924.93,0.0,20.23,False,0,False,0.2539879935629591,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:05:00+00:00,15.31,21.88,2729.94,0.0,19.77,False,0,False,0.2427732759879924,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:06:00+00:00,14.21,19.35,2685.06,0.0,19.96,False,0,False,0.2482704725370882,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:07:00+00:00,14.04,19.1,2557.92,0.0,20.41,False,0,False,0.2732923638554566,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:08:00+00:00,14.13,21.81,3159.83,0.0,50.17,True,1,False,0.1462208478980477,Z-Score,Observation,False,,,,False,,,,,False,None,None,,
2026-08-30 16:09:00+00:00,15.05,14.61,2564.47,0.0,20.4,False,0,False,0.2628144433647572,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:10:00+00:00,9.25,10.46,2991.59,1.44,20.63,True,1,False,0.1126907848624042,Z-Score,Observation,False,,,,False,,,,,False,None,None,,
2026-08-30 16:11:00+00:00,16.37,22.69,2799.07,0.0,43.16,False,0,False,0.2154605418422782,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:12:00+00:00,16.41,18.45,2751.02,0.0,43.28,False,0,False,0.2251880277340543,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:13:00+00:00,20.98,25.54,2753.44,0.22,19.7,False,0,False,0.1698565660069413,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:14:00+00:00,15.07,23.54,2937.33,0.0,20.83,False,0,False,0.2598354400816141,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:15:00+00:00,12.42,12.12,3009.25,0.67,21.13,False,0,False,0.196228712867897,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:16:00+00:00,14.27,12.55,2775.17,0.27,56.67,False,0,False,0.1527607653825728,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:17:00+00:00,12.6,14.76,2632.34,0.22,19.87,False,0,False,0.2137365313353528,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:18:00+00:00,13.39,16.57,2720.25,0.0,20.32,False,0,False,0.2549984565999185,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:19:00+00:00,14.2,15.46,2680.6,0.0,20.99,False,0,False,0.2406346766204868,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:20:00+00:00,16.28,20.01,2649.93,0.0,20.96,False,0,False,0.2672977542328212,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:21:00+00:00,17.38,14.68,2792.31,0.0,20.21,False,0,False,0.2474014331152268,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:22:00+00:00,18.27,22.3,2903.87,0.0,20.9,False,0,False,0.2376055716114932,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:23:00+00:00,9.19,8.2,2655.13,0.0,20.1,False,0,False,0.1944649509670579,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:24:00+00:00,16.57,18.48,2743.53,0.22,20.18,False,0,False,0.2458668848204249,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:25:00+00:00,13.27,11.94,2874.59,0.0,20.63,False,0,False,0.2700256675501056,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:26:00+00:00,10.51,8.65,2638.69,0.0,42.76,False,0,False,0.1488723410647853,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:27:00+00:00,15.3,15.9,3171.69,0.0,20.45,True,1,False,0.2815935778402896,Z-Score,Observation,False,,,,False,,,,,False,None,None,,
2026-08-30 16:28:00+00:00,17.08,19.74,2872.15,0.0,21.11,False,0,False,0.2658844038384848,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:29:00+00:00,9.61,8.9,2649.08,0.0,20.37,False,0,False,0.2005369468687147,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:30:00+00:00,15.41,12.88,2742.53,0.0,19.91,False,0,False,0.2656885924777691,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:31:00+00:00,16.16,14.89,2841.75,0.0,48.26,False,0,False,0.2100515109354064,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:32:00+00:00,11.83,16.31,2494.77,0.0,19.95,False,0,False,0.1991635778452808,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:33:00+00:00,13.2,14.47,2816.61,0.0,52.14,False,0,False,0.1811745295631716,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:34:00+00:00,16.04,17.81,2760.85,0.0,49.75,False,0,False,0.2233639098446684,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:35:00+00:00,19.49,21.5,2811.67,0.0,20.37,False,0,False,0.2499951419809005,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:36:00+00:00,19.9,27.08,2851.73,0.0,20.1,False,0,False,0.2215523482349922,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:37:00+00:00,15.97,16.25,2909.52,0.0,53.31,False,0,False,0.2184950804598398,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:38:00+00:00,13.23,17.45,2776.57,0.0,52.0,False,0,False,0.2128264174936494,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:39:00+00:00,19.9,23.38,2782.59,0.0,20.01,False,0,False,0.2628900227796018,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:40:00+00:00,12.35,12.93,2690.75,0.0,48.13,False,0,False,0.1923080350864813,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:41:00+00:00,11.88,16.55,2706.65,0.0,38.6,False,0,False,0.2121872566543082,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:42:00+00:00,14.4,17.45,2779.93,0.0,52.33,False,0,False,0.2154520438525101,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:43:00+00:00,17.5,22.3,2735.65,0.0,20.08,False,0,False,0.2443322838140508,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:44:00+00:00,15.65,18.58,2931.54,0.26,20.79,False,0,False,0.252429921002005,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:45:00+00:00,14.31,20.75,2576.21,0.0,20.73,False,0,False,0.2555983027288775,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 16:46:00+00:00,19.26,22.89,2758.09,0.0,42.35,False,0,False,0.213138130390696,None,None,False,,,,False,,,,,False,None,None,,
